,orderId,clientId,permId,action,totalQuantity,orderType,lmtPrice,auxPrice,tif,activeStartTime,activeStopTime,ocaGroup,ocaType,orderRef,transmit,parentId,blockOrder,sweepToFill,displaySize,triggerMethod,outsideRth,hidden,goodAfterTime,goodTillDate,rule80A,allOrNone,minQty,percentOffset,overridePercentageConstraints,trailStopPrice,trailingPercent,faGroup,faProfile,faMethod,faPercentage,designatedLocation,openClose,origin,shortSaleSlot,exemptCode,discretionaryAmt,eTradeOnly,firmQuoteOnly,nbboPriceCap,optOutSmartRouting,auctionStrategy,startingPrice,stockRefPrice,delta,stockRangeLower,stockRangeUpper,randomizePrice,randomizeSize,volatility,volatilityType,deltaNeutralOrderType,deltaNeutralAuxPrice,deltaNeutralConId,deltaNeutralSettlingFirm,deltaNeutralClearingAccount,deltaNeutralClearingIntent,deltaNeutralOpenClose,deltaNeutralShortSale,deltaNeutralShortSaleSlot,deltaNeutralDesignatedLocation,continuousUpdate,referencePriceType,basisPoints,basisPointsType,scaleInitLevelSize,scaleSubsLevelSize,scalePriceIncrement,scalePriceAdjustValue,scalePriceAdjustInterval,scaleProfitOffset,scaleAutoReset,scaleInitPosition,scaleInitFillQty,scaleRandomPercent,scaleTable,hedgeType,hedgeParam,account,settlingFirm,clearingAccount,clearingIntent,algoStrategy,algoParams,smartComboRoutingParams,algoId,whatIf,notHeld,solicited,modelCode,orderComboLegs,orderMiscOptions,referenceContractId,peggedChangeAmount,isPeggedChangeAmountDecrease,referenceChangeAmount,referenceExchangeId,adjustedOrderType,triggerPrice,adjustedStopPrice,adjustedStopLimitPrice,adjustedTrailingAmount,adjustableTrailingUnit,lmtPriceOffset,conditions,conditionsCancelOrder,conditionsIgnoreRth,extOperator,softDollarTier,cashQty,mifid2DecisionMaker,mifid2DecisionAlgo,mifid2ExecutionTrader,mifid2ExecutionAlgo,dontUseAutoPriceForHedge,isOmsContainer,discretionaryUpToLimitPrice,autoCancelDate,filledQuantity,refFuturesConId,autoCancelParent,shareholder,imbalanceOnly,routeMarketableToBbo,parentPermId,usePriceMgmtAlgo,duration,postToAts,advancedErrorOverride
0,6,1,1258385411,SELL,20.0,LMT,1.11,0.0,DAY,,,,3,,True,0,False,False,2147483647,0,False,False,,,,False,2147483647,1.7976931348623157e+308,False,0.1100000000000001,1.7976931348623157e+308,,,,,,,0,0,-1,0.0,False,False,1.7976931348623157e+308,False,0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,False,False,1.7976931348623157e+308,0,None,1.7976931348623157e+308,0,,,,,False,0,,False,0,1.7976931348623157e+308,2147483647,2147483647,2147483647,1.7976931348623157e+308,1.7976931348623157e+308,2147483647,1.7976931348623157e+308,False,2147483647,2147483647,False,,,,DU6076986,,,IB,,[],[],,False,False,False,,[],[],0,0.0,False,0.0,,None,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0,1.7976931348623157e+308,[],False,False,,"SoftDollarTier(name='', val='', displayName='')",0.0,,,,,True,False,False,,1.7976931348623157e+308,0,False,,False,False,0,False,2147483647,2147483647,
1,11,1,1258385426,BUY,20000.0,LMT,0.05,0.0,DAY,,,,3,,True,0,False,False,2147483647,0,False,False,,,,False,2147483647,1.7976931348623157e+308,False,1.05,1.7976931348623157e+308,,,,,,O,0,0,-1,0.0,False,False,1.7976931348623157e+308,False,0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,False,False,1.7976931348623157e+308,0,None,1.7976931348623157e+308,0,,,,,False,0,,False,0,1.7976931348623157e+308,2147483647,2147483647,2147483647,1.7976931348623157e+308,1.7976931348623157e+308,2147483647,1.7976931348623157e+308,False,2147483647,2147483647,False,,,,DU6076986,,,IB,,[],[],,False,False,False,,[],[],0,0.0,False,0.0,,None,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0,1.7976931348623157e+308,[],False,False,,"SoftDollarTier(name='', val='', displayName='')",0.0,,,,,True,False,False,,1.7976931348623157e+308,0,False,,False,False,0,False,2147483647,2147483647,
2,104,1,0,BUY,1.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,,,,,0,,True,0,False,False,0,0,False,False,,,,False,2147483647,1.7976931348623157e+308,False,1.7976931348623157e+308,1.7976931348623157e+308,,,,,,O,0,0,-1,0.0,False,False,1.7976931348623157e+308,False,0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,False,False,1.7976931348623157e+308,2147483647,,1.7976931348623157e+308,0,,,,,False,0,,False,2147483647,1.7976931348623157e+308,2147483647,2147483647,2147483647,1.7976931348623157e+308,1.7976931348623157e+308,2147483647,1.7976931348623157e+308,False,2147483647,2147483647,False,,,,,,,,,[],[],,False,False,False,,[],[],0,0.0,False,0.0,,,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,0,1.7976931348623157e+308,[],False,False,,"SoftDollarTier(name='', val='', displayName='')",1.7976931348623157e+308,,,,,False,False,False,,1.7976931348623157e+308,0,False,,False,False,0,False,2147483647,2147483647,
